"","obs","time..2","elapsed","date","hhmmss..5","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","CO2_hrs","AccH2O_hum","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r","meas.type"
"1",1,1663337966.1,0,2022-09-16 09:19:26,09:19:26,5,"20","gibson",1663337958.1,0.00645401774687149,6.4540177468715,14.570867584746,399.470401004169,322.461128261391,29.2140085777889,36.1908171209046,0.373695958730384,2.75349685522882,0.347634063166356,0.219461195175149,241.741191677419,26.6034243329078,26.1331580645161,3.40093723620139,49.7417681763109,1.76692630552958,3.55219842460498,1.63401093067182,-284.622182637033,109.577476562306,8.54572270234346,75.242208305036,14.5852794978629,6.44073996209368,14.570867584746,425.134905652239,407.425860606061,0.00332735130678877,67.0684275587084,6.4540177468715,11.9270791134922,19.5193127966976,3.21540290150219e-06,108.779583278055,0,0,1,0,47753,1499.9764516129,1261.19521935484,0.840810012716329,0.161163324542514,6,0.5,"0: Broadleaf",2,TRUE,1663337958.1,399.470419354839,420.056451612903,19.5031451612903,11.9263806451613,399.136290322581,19.3894774193548,500.091451612903,90.4968903225806,0.100102670967742,26.8713193548387,26.1331580645161,999.9,0,0,9976.63483870968,0,119.956096774194,-20.5859774193548,407.416290322581,425.126709677419,7.57676096774194,420.056451612903,11.9263806451613,1.76497387096774,1.07930064516129,15.4799838709677,8.03325774193548,1499.9764516129,0.972999322580646,0.0270010387096774,0,2.57861290322581,0,21935.6322580645,12499.5548387097,40.870935483871,43.562,42.29,41.562,40.7195161290323,1459.4764516129,40.5,0,1663337966.1,0,0,"--:--:--",0,0,0,0,0,0,0,0,0,0,0,-20.5816756097561,-0.0988411149825789,0.0532314402809494,1,7.57220341463415,0.101332891986065,0.0100862977833505,0,1,2,"1/2",2.86311,2.70988,0.0879304,0.0912954,0.0889665,0.0619865,25644.6,22271.7,25158.8,23868.6,39125.9,37053.5,45485.4,42568.1,1.79662,1.86385,0.0179932,0,25.8608,999.9,48.15,29.054,21.4664,55.5073,45.7973,1,-0.0185188,0.535005,20.2465,5.23436,11.9917,4.95575,3.30393,9999,9999,539.1,9999,1.86829,1.86395,1.8716,1.86244,1.86188,1.86829,1.85851,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.334,0.1144,0.294398377520719,2.15462070873936e-05,1.83056311392263e-07,3.02916485021451e-11,-0.148277638283228,-0.0192885419155673,0.00203488037744555,-1.77085896210737e-05,0,2050,2,28,27722299.4,27722299.4,1.04126,2.35352,1.44775,2.31445,1.44409,2.40356,33.7606,16.1021,18,431.403,458.466,25.0011,27.1037,30.0003,26.961,26.9382,20.7997,58.1887,0,25,413.266,11.9721,96.2657,100.089,"post_heatwave"
"2",2,1663337971.1,5,2022-09-16 09:19:31,09:19:31,5,"20","gibson",1663337963.25517,0.00646581930739406,6.46581930739406,14.6750978223176,399.476602315048,322.043821247282,29.1759062651821,36.1910123260146,0.374020812243114,2.75439462555585,0.347923154819112,0.219644805862099,241.741202793103,26.6076404571823,26.1464793103448,3.40361631454213,49.7512346722687,1.76802989344413,3.55374073646786,1.63558642109799,-285.142631456078,108.731567019595,8.47786692861858,73.8080052852391,14.4580357095221,6.44820213752837,14.6750978223176,425.193705437151,407.380933333333,-0.00158335029280713,67.0684275587084,6.46581930739406,11.9288826744812,19.5351561403509,2.18007113446939e-05,108.779583278055,0,0,1,0,48006,1499.97689655172,1261.19556206897,0.84080999178608,0.161163284147135,6,0.5,"0: Broadleaf",2,TRUE,1663337963.25517,399.476620689655,419.91475862069,19.515524137931,11.9296517241379,399.142517241379,19.4013896551724,500.063413793103,90.4961172413793,0.0999580137931034,26.8787034482759,26.1464793103448,999.9,0,0,9982.02517241379,0,126.639172413793,-20.4380517241379,407.42775862069,424.984724137931,7.58587,419.91475862069,11.9296517241379,1.76607931034483,1.07958827586207,15.4897551724138,8.03716413793103,1499.97689655172,0.973000034482759,0.0270002413793103,0,2.57886896551724,0,21553.8172413793,12499.5620689655,40.875,43.5793793103448,42.3034482758621,41.562,40.7369655172414,1459.47793103448,40.4989655172414,0,1663337970.9,0,0,"--:--:--",0,0,0,0,0,0,0,0,0,0,0,-20.52491,1.03908067542215,0.232370572362337,0,7.58106,0.103079549718552,0.0100237101414596,0,0,2,"0/2",2.86331,2.71066,0.0879027,0.0908688,0.089004,0.0619973,25644.9,22282.1,25158.4,23868.6,39123.9,37053,45484.9,42568,1.7965,1.86362,0.0174642,0,25.8789,999.9,48.15,29.054,21.4666,55.6673,45.5809,1,-0.0181072,0.540447,20.2462,5.23406,11.9917,4.95575,3.30385,9999,9999,539.1,9999,1.86829,1.86394,1.87158,1.86245,1.86188,1.86829,1.8585,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.334,0.1149,0.294398377520719,2.15462070873936e-05,1.83056311392263e-07,3.02916485021451e-11,-0.148277638283228,-0.0192885419155673,0.00203488037744555,-1.77085896210737e-05,0,2050,2,28,27722299.5,27722299.5,1.0144,2.37305,1.44775,2.31323,1.44409,2.31323,33.7606,16.0934,18,431.358,458.35,25.0011,27.1074,30.0004,26.9645,26.9412,20.2996,58.1887,0,25,399.811,11.9721,96.2645,100.089,"post_heatwave"
"3",3,1663337976.1,10,2022-09-16 09:19:36,09:19:36,5,"20","gibson",1663337968.33214,0.00647509875704605,6.47509875704605,14.6261935046453,399.018553190393,321.862520538771,29.1593009970771,36.1492915559745,0.374304032860689,2.75736477508497,0.348194364277567,0.219815366265202,241.747359642857,26.6137196361441,26.157225,3.40577875738977,49.7587405450683,1.76916184708867,3.55547955536832,1.6366169103011,-285.551855185731,108.488455310747,8.45060650165185,73.1345662695249,12.513669006418,6.45610033051621,14.6261935046453,418.652692992106,404.28316969697,-0.69714417432737,67.0684275587084,6.47509875704605,11.9326521274968,19.5500460268318,7.80378564599346e-06,108.779583278055,0,0,1,0,48119,1500.01535714286,1261.22787857143,0.84080997742166,0.161163256423803,6,0.5,"0: Broadleaf",2,TRUE,1663337968.33214,399.018571428571,417.1245,19.5281392857143,11.9328642857143,398.684571428571,19.4135214285714,500.049678571429,90.4956142857143,0.0999013035714286,26.887025,26.157225,999.9,0,0,9999.64357142857,0,128.668964285714,-18.1058617857143,406.965821428572,422.162107142857,7.59528178571428,417.1245,11.9328642857143,1.76721107142857,1.07987142857143,15.4997392857143,8.04102821428571,1500.01535714286,0.97300025,0.027,0,2.53319285714286,0,21755.0285714286,12499.8964285714,40.875,43.60025,42.3075714285714,41.562,40.75,1459.51607142857,40.4992857142857,0,1663337976.3,0,0,"--:--:--",0,0,0,0,0,0,0,0,0,0,0,-18.8281665853659,24.4233407665505,3.20157617325425,0,7.59051463414634,0.113768989547055,0.0113202443517454,0,0,2,"0/2",2.863,2.71048,0.0872965,0.0886497,0.0890584,0.0620139,25661.5,22336.6,25158,23868.7,39121,37052.4,45484.3,42568.2,1.79622,1.86388,0.0170916,0,25.8966,999.9,48.15,29.064,21.4779,54.9273,45.4768,1,-0.017998,0.545899,20.2463,5.23376,11.9899,4.9557,3.30385,9999,9999,539.1,9999,1.86829,1.86391,1.87155,1.86247,1.86188,1.86829,1.85849,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.333,0.1155,0.294398377520719,2.15462070873936e-05,1.83056311392263e-07,3.02916485021451e-11,-0.148277638283228,-0.0192885419155673,0.00203488037744555,-1.77085896210737e-05,0,2050,2,28,27722299.6,27722299.6,0.985107,2.36694,1.44775,2.31445,1.44409,2.3645,33.7606,16.1021,18,431.226,458.537,25.0011,27.1112,30.0003,26.9679,26.9451,19.6371,58.1887,0,25,379.667,11.9721,96.2631,100.089,"post_heatwave"
"4",4,1663337981.1,15,2022-09-16 09:19:41,09:19:41,5,"20","gibson",1663337973.6,0.00648302582305777,6.48302582305777,14.3856698153699,396.340241262197,320.352474663052,29.0225861422753,35.906758035133,0.374400805146084,2.76149151306666,0.348314260748867,0.219888532792175,241.748158222222,26.6237879091667,26.1711888888889,3.40859061733449,49.7635925789205,1.77056825491303,3.5579590683793,1.63802236242146,-285.901438796848,108.337627511986,8.42733669907931,72.6116836364402,8.02352639813752,6.46602323203835,14.3856698153699,403.472121435027,395.246975757576,-1.89999101608522,67.0684275587084,6.48302582305777,11.9361751789084,19.5627103199174,2.11367397274111e-05,108.779583278055,0,0,1,0,47845,1500.02037037037,1261.23208888889,0.840809974185536,0.161163250178084,6,0.5,"0: Broadleaf",2,TRUE,1663337973.6,396.340259259259,409.042555555556,19.5436037037037,11.9367555555556,396.006740740741,19.4283888888889,500.048407407407,90.4958555555555,0.0999363851851852,26.8988851851852,26.1711888888889,999.9,0,0,10024.0485185185,0,130.545851851852,-12.7022355555556,404.240592592593,413.984148148148,7.60684888888889,409.042555555556,11.9367555555556,1.76861444444444,1.08022666666667,15.5121259259259,8.04585962962963,1500.02037037037,0.973000111111111,0.0270001555555555,0,2.44548518518519,0,21981,12499.9296296296,40.875,43.6226666666667,42.312,41.562,40.75,1459.52111111111,40.4992592592593,0,1663337981.1,0,0,"--:--:--",0,0,0,0,0,0,0,0,0,0,0,-15.36163725,59.8111063789869,6.27263146008076,0,7.5997305,0.128424090056288,0.0123987565808028,0,0,2,"0/2",2.86306,2.71021,0.0857008,0.0859025,0.0891023,0.0620277,25706.3,22403.8,25157.9,23868.6,39118.8,37051.7,45484.1,42568.1,1.79638,1.86353,0.0174232,0,25.9142,999.9,48.126,29.064,21.4665,55.0273,45.4768,1,-0.0177134,0.553271,20.2458,5.23182,11.9894,4.95525,3.30355,9999,9999,539.1,9999,1.86829,1.86392,1.87159,1.86246,1.86188,1.86829,1.8585,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.332,0.116,0.294398377520719,2.15462070873936e-05,1.83056311392263e-07,3.02916485021451e-11,-0.148277638283228,-0.0192885419155673,0.00203488037744555,-1.77085896210737e-05,0,2050,2,28,27722299.7,27722299.7,0.957031,2.3584,1.44775,2.31445,1.44409,2.3645,33.7832,16.1021,18,431.331,458.344,25.0013,27.1152,30.0004,26.9707,26.9479,18.9925,57.9051,0,25,366.276,12.0137,96.2626,100.089,"post_heatwave"
"5",5,1663337986.1,20,2022-09-16 09:19:46,09:19:46,5,"20","gibson",1663337978.31429,0.00649726132287566,6.49726132287567,14.1028490844723,390.268196624915,315.760129346262,28.6066991063207,35.356854251135,0.374726607943428,2.76038274011454,0.348586630250635,0.220063074388236,241.752152678571,26.6310752425237,26.1888642857143,3.41215275797005,49.7666816823889,1.77185200234808,3.5603177516557,1.64030075562197,-286.529224338817,107.341714673831,8.35443172034627,70.9190747339318,2.7234433088947,6.47386285139607,14.1028490844723,386.766850253236,382.428490909091,-2.62830167467614,67.0684275587084,6.49726132287567,11.9402530651422,19.5830778121775,1.24960844399679e-05,108.779583278055,0,0,1,0,47829,1500.045,1261.25281071429,0.840809982843372,0.161163266887708,6,0.5,"0: Broadleaf",2,TRUE,1663337978.31429,390.268214285714,396.567285714286,19.5576642857143,11.9420678571429,389.935714285714,19.4419107142857,500.072392857143,90.4962857142857,0.100013335714286,26.9101607142857,26.1888642857143,999.9,0,0,10017.4332142857,0,132.062714285714,-6.29918295357143,398.053071428572,401.360357142857,7.61560071428572,396.567285714286,11.9420678571429,1.76989607142857,1.08071285714286,15.5234107142857,8.05247035714286,1500.045,0.972999535714286,0.0270008,0,2.41405357142857,0,22521.8964285714,12500.1178571429,40.8882857142857,43.6427142857143,42.3165,41.57775,40.7588571428571,1459.54464285714,40.5003571428571,0,1663337986.5,0,0,"--:--:--",0,0,0,0,0,0,0,0,0,0,0,-10.2291698175,82.6634614525329,8.0576833611133,0,7.6100085,0.118314821763606,0.0114745526165511,0,0,2,"0/2",2.86295,2.71032,0.0834859,0.0831458,0.0891664,0.0620955,25768.4,22470.7,25157.8,23867.9,39115.8,37048.3,45483.9,42567.4,1.79615,1.86353,0.0177845,0,25.9333,999.9,48.126,29.064,21.467,55.5773,45.9575,1,-0.0173628,0.560847,20.2463,5.23346,11.9908,4.95565,3.30395,9999,9999,539.1,9999,1.86829,1.86392,1.8716,1.86243,1.86188,1.86829,1.8585,1.86493,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.33,0.1168,0.294398377520719,2.15462070873936e-05,1.83056311392263e-07,3.02916485021451e-11,-0.148277638283228,-0.0192885419155673,0.00203488037744555,-1.77085896210737e-05,0,2050,2,28,27722299.8,27722299.8,0.916748,2.35962,1.44775,2.31323,1.44409,2.4292,33.7832,16.1021,18,431.233,458.372,25.0015,27.1187,30.0003,26.9747,26.9514,18.4131,57.9051,0,25,345.993,12.0119,96.2623,100.087,"post_heatwave"
"6",6,1663337991.1,25,2022-09-16 09:19:51,09:19:51,5,"20","gibson",1663337983.6,0.00651281913779083,6.51281913779083,13.8176956729212,379.411982780404,306.504668085249,27.7684446042059,34.3736383913059,0.374899372141775,2.76084360325087,0.348740228407001,0.220160642116358,241.745600222222,26.6421555266993,26.2131814814815,3.41705873979853,49.7708861426474,1.77360097379707,3.56353103441595,1.64345776600146,-287.215323976576,106.024994372207,8.25221224905601,68.8074828669098,-2.11896738458389,6.48201529478659,13.8176956729212,370.465511402719,367.933763636364,-2.92862205634263,67.0684275587084,6.51281913779083,11.9469085250354,19.6078240454077,1.97254301533932e-05,108.779583278055,0,0,1,0,48050,1500.00407407407,1261.21842222222,0.840809997800006,0.161163295754012,6,0.5,"0: Broadleaf",2,TRUE,1663337983.6,379.412,379.820407407407,19.5767888888889,11.9517111111111,379.081481481481,19.4603074074074,500.069777777778,90.4971703703704,0.0999640148148148,26.9255111111111,26.2131814814815,999.9,0,0,10020.0648148148,0,133.7,-0.408387507407407,386.987814814815,384.414703703704,7.62507851851852,379.820407407407,11.9517111111111,1.7716437037037,1.08159592592593,15.5388074074074,8.06448703703704,1500.00407407407,0.972999,0.0270014,0,2.48378518518518,0,22573.8925925926,12499.762962963,40.9071481481481,43.6617407407407,42.333,41.5993333333333,40.7775555555556,1459.50407407407,40.5,0,1663337991.3,0,0,"--:--:--",0,0,0,0,0,0,0,0,0,0,0,-5.41949323658537,73.2200124209059,7.43740680719828,0,7.61750048780488,0.105688013937265,0.0105940811710882,0,0,2,"0/2",2.86305,2.7105,0.0809665,0.08028,0.0892416,0.062133,25838.4,22541.2,25157,23868.3,39111.6,37047,45482.9,42567.7,1.796,1.86353,0.0179708,0,25.9524,999.9,48.126,29.084,21.4924,54.7173,45.4247,1,-0.0171037,0.567688,20.2463,5.23047,11.9896,4.9556,3.30385,9999,9999,539.1,9999,1.86829,1.8639,1.87158,1.86244,1.86188,1.86829,1.85849,1.86491,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.327,0.1178,0.294398377520719,2.15462070873936e-05,1.83056311392263e-07,3.02916485021451e-11,-0.148277638283228,-0.0192885419155673,0.00203488037744555,-1.77085896210737e-05,0,2050,2,28,27722299.9,27722299.9,0.88501,2.37549,1.44775,2.31445,1.44409,2.35229,33.8057,16.1021,18,431.168,458.4,25.0014,27.1227,30.0004,26.9775,26.9548,17.7126,57.9051,0,25,332.594,11.999,96.2598,100.088,"post_heatwave"
"7",7,1663337996.1,30,2022-09-16 09:19:56,09:19:56,5,"20","gibson",1663337988.31429,0.00655140313023145,6.55140313023145,13.3252282941637,366.945804655314,296.86746515037,26.895276424855,33.244157773054,0.376762429830468,2.75833542205868,0.350330252786255,0.221176508611727,241.743468,26.6445859618044,26.2321714285714,3.42089423444036,49.7785123408096,1.77525883933194,3.5663155764431,1.64563539510842,-288.916878043207,105.081414075076,8.18753101438437,66.095535046253,-4.46682083220894,6.48993199091851,13.3252282941637,353.981576814397,352.6862,-3.06000010685954,67.0684275587084,6.55140313023145,11.9636047024853,19.6199274509804,0.00630642170715867,108.779583278055,0,0,1,0,47641,1499.99071428571,1261.2072,0.840810005014317,0.161163309677631,6,0.5,"0: Broadleaf",2,TRUE,1663337988.31429,366.945821428571,364.443821428571,19.5951357142857,11.9611678571429,366.617392857143,19.4779607142857,500.088107142857,90.4969214285714,0.0999932964285714,26.9388035714286,26.2321714285714,999.9,0,0,10005.2425,0,134.167785714286,2.501930975,374.279642857143,368.855714285714,7.6339675,364.443821428571,11.9611678571429,1.77329964285714,1.08244892857143,15.5533785714286,8.0760825,1499.99071428571,0.972999,0.0270014,0,2.60031428571429,0,22541.9678571429,12499.6571428571,40.9259285714286,43.6803571428571,42.3525,41.61825,40.7965,1459.49071428571,40.5,0,1663337996.1,0,0,"--:--:--",0,0,0,0,0,0,0,0,0,0,0,0.408363836585366,39.0344607637631,4.03992959891523,0,7.62929487804878,0.108439651567941,0.0108895490560291,0,0,2,"0/2",2.86308,2.70988,0.0782785,0.0773133,0.0892763,0.062144,25914,22613.8,25157.1,23868.1,39110.1,37046.2,45483,42567.3,1.79648,1.86303,0.0169836,0,25.9732,999.9,48.126,29.084,21.4909,54.9073,45.9095,1,-0.0167429,0.577612,20.2461,5.23137,11.99,4.9557,3.3039,9999,9999,539.1,9999,1.86829,1.86393,1.87155,1.86245,1.86188,1.86829,1.85849,1.86492,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.324,0.1181,0.294398377520719,2.15462070873936e-05,1.83056311392263e-07,3.02916485021451e-11,-0.148277638283228,-0.0192885419155673,0.00203488037744555,-1.77085896210737e-05,0,2050,2,28,27722299.9,27722299.9,0.853271,2.37549,1.44775,2.31445,1.44409,2.36816,33.8057,16.1021,18,431.467,458.121,25.0018,27.1273,30.0003,26.9815,26.9587,17.0806,57.9051,0,25,319.198,11.999,96.26,100.087,"post_heatwave"
"8",8,1663338001.1,35,2022-09-16 09:20:01,09:20:01,5,"20","gibson",1663337993.6,0.00651530287088534,6.51530287088534,12.7495181442344,351.645132063627,284.197781843937,25.747436568318,31.8579570664555,0.374185212298342,2.7552988783128,0.348073397148094,0.219739881213521,241.741521555556,26.6659855206312,26.247762962963,3.42404614474762,49.7904429150482,1.77691280259704,3.56878287993698,1.64713334215059,-287.324856606044,104.398143959335,8.1443734353422,66.9591823441886,-6.0123553492916,6.49821631759915,12.7495181442344,337.256128375255,337.035812121212,-3.13743974846465,67.0684275587084,6.51530287088534,11.9706165789926,19.6303031991744,0.00050488612446364,108.779583278055,0,0,1,0,47620,1499.97851851852,1261.19695555556,0.840810011600166,0.161163322388321,6,0.5,"0: Broadleaf",2,TRUE,1663337993.6,351.645148148148,347.173111111111,19.6133962962963,11.9696925925926,351.319222222222,19.4955222222222,500.07937037037,90.4968777777778,0.100017107407407,26.9505740740741,26.247762962963,999.9,0,0,9987.2862962963,0,134.342814814815,4.47202444444444,358.679962962963,351.379037037037,7.64370111111111,347.173111111111,11.9696925925926,1.77495111111111,1.08321962962963,15.5679111111111,8.08655703703704,1499.97851851852,0.972999,0.0270014,0,2.67708148148148,0,22475.362962963,12499.562962963,40.9347037037037,43.6847037037037,42.3703333333333,41.6410740740741,40.8097037037037,1459.47851851852,40.5,0,1663338000.9,0,0,"--:--:--",0,0,0,0,0,0,0,0,0,0,0,2.78350456829268,25.0257895777003,2.53588621996551,0,7.63633682926829,0.112031707317075,0.0112232918606959,0,0,2,"0/2",2.86303,2.70988,0.0754699,0.074307,0.0893114,0.0621511,25992.4,22687.3,25156.6,23868,39107.7,37045.7,45482,42567.1,1.7961,1.86318,0.0165962,0,25.9925,999.9,48.126,29.094,21.505,55.7573,45.3726,1,-0.0164939,0.586239,20.2461,5.23122,11.9905,4.9558,3.30393,9999,9999,539.1,9999,1.86829,1.86391,1.87156,1.86242,1.86187,1.86829,1.85852,1.86492,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.323,0.1186,0.294398377520719,2.15462070873936e-05,1.83056311392263e-07,3.02916485021451e-11,-0.148277638283228,-0.0192885419155673,0.00203488037744555,-1.77085896210737e-05,0,2050,2,28,27722300,27722300,0.817871,2.37549,1.44775,2.31445,1.44409,2.36938,33.8283,16.1021,18,431.279,458.239,25.0018,27.1313,30.0004,26.985,26.9616,16.3576,57.9051,0,25,299.018,11.999,96.258,100.086,"post_heatwave"
"9",9,1663338006.1,40,2022-09-16 09:20:06,09:20:06,5,"20","gibson",1663337998.31429,0.00652440753791314,6.52440753791315,12.3312397321707,337.3453416756,272.247907091854,24.6646145305191,30.5621920292216,0.374625054058973,2.75386765085215,0.348441534596317,0.219975752000001,241.739991,26.6679612870821,26.2561,3.42573256079912,49.8096169682274,1.77808065059348,3.56975371187393,1.64765191020564,-287.72637242197,103.793469330952,8.10193525185921,65.909023160841,-6.93183160380686,6.50619188052988,12.3312397321707,320.600208267361,321.114381818182,-3.18409722383009,67.0684275587084,6.52440753791315,11.9729930804902,19.6434977296182,0.00049105100579827,108.779583278055,0,0,1,0,47936,1499.96892857143,1261.1889,0.840810016778919,0.161163332383314,6,0.5,"0: Broadleaf",2,TRUE,1663337998.31429,337.345357142857,331.661785714286,19.6264464285714,11.9733607142857,337.021678571429,19.5080678571429,500.072678571429,90.4961714285714,0.0999870285714286,26.9552035714286,26.2561,999.9,0,0,9978.905,0,134.452464285714,5.68350178571428,344.098714285714,335.681142857143,7.65309071428571,331.661785714286,11.9733607142857,1.77611928571429,1.08354285714286,15.5781785714286,8.09094428571428,1499.96892857143,0.972999,0.0270014,0,2.63925714285714,0,22404.0107142857,12499.5,40.9415,43.696,42.37275,41.6582142857143,40.812,1459.46892857143,40.5,0,1663338006.3,0,0,"--:--:--",0,0,0,0,0,0,0,0,0,0,0,4.60728292682927,17.036696445993,1.70190938951039,0,7.64534024390244,0.120735888501738,0.0120066872602272,0,0,2,"0/2",2.86267,2.71027,0.0725681,0.0711897,0.089348,0.0621634,26073.4,22763.5,25156,23867.8,39105.5,37044.6,45481.4,42566.6,1.79585,1.86332,0.015907,0,26.009,999.9,48.126,29.084,21.4915,55.4073,46.0176,1,-0.0160925,0.590599,20.2462,5.23137,11.9911,4.95575,3.3038,9999,9999,539.1,9999,1.86828,1.86394,1.87158,1.86241,1.86188,1.86829,1.85852,1.8649,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.32,0.1191,0.294398377520719,2.15462070873936e-05,1.83056311392263e-07,3.02916485021451e-11,-0.148277638283228,-0.0192885419155673,0.00203488037744555,-1.77085896210737e-05,0,2050,2,28,27722300.1,27722300.1,0.784912,2.38403,1.44897,2.31323,1.44409,2.35718,33.8283,16.0934,18,431.162,458.364,25.0012,27.1359,30.0004,26.9883,26.9656,15.7015,57.9051,0,25,285.365,11.999,96.2565,100.085,"post_heatwave"
"10",10,1663338011.1,45,2022-09-16 09:20:11,09:20:11,5,"20","gibson",1663338003.6,0.00652982544120367,6.52982544120368,11.6017167089601,321.021985448246,259.672703838638,23.5251721930804,29.0831395591254,0.374679447385246,2.75535367533103,0.348501676299687,0.220012913479412,241.740930444444,26.6664562894924,26.2664444444444,3.42782604357436,49.8395662761523,1.77913274669705,3.56971956144079,1.6486932968773,-287.965301957082,102.288657416692,7.98057255223725,64.0448584562914,-7.80769925966965,6.51295599736592,11.6017167089601,303.518202791216,305.0874,-3.21887930913362,67.0684275587084,6.52982544120368,11.9756667227033,19.6550209494324,0.00021011998009367,108.779583278055,0,0,1,0,47895,1499.97481481481,1261.19384444444,0.840810013600228,0.161163326248441,6,0.5,"0: Broadleaf",2,TRUE,1663338003.6,321.022,314.162407407407,19.6382074074074,11.9769074074074,320.700777777778,19.5193740740741,500.049851851852,90.4955444444444,0.0999314962962963,26.9550407407407,26.2664444444444,999.9,0,0,9987.75740740741,0,134.263333333333,6.85956333333333,327.452481481482,317.970740740741,7.66130407407407,314.162407407407,11.9769074074074,1.77717111111111,1.0838562962963,15.5874185185185,8.09520037037037,1499.97481481481,0.972999185185186,0.0270011925925926,0,2.61077407407407,0,22305.2814814815,12499.5481481481,40.951,43.7173333333333,42.3841851851852,41.6801111111111,40.812,1459.47481481481,40.5,0,1663338011.1,0,0,"--:--:--",0,0,0,0,0,0,0,0,0,0,0,5.95305195121951,14.0327757491289,1.39181375909142,0,7.6547643902439,0.0986826480836228,0.00979237285297143,1,1,2,"1/2",2.86291,2.71036,0.06958,0.0681285,0.0893889,0.0621813,26157,22838.6,25155.7,23868,39103.1,37044.3,45480.7,42567.1,1.79597,1.86297,0.0159591,0,26.0216,999.9,48.126,29.094,21.506,55.2073,45.4447,1,-0.0159172,0.595411,20.2459,5.23122,11.9908,4.95565,3.3039,9999,9999,539.1,9999,1.86829,1.86393,1.8716,1.8624,1.86188,1.86829,1.85851,1.86491,5,0,0,0,11111111,"oooooooo","off","off","off","off",0,100,100,0.318,0.1196,0.294398377520719,2.15462070873936e-05,1.83056311392263e-07,3.02916485021451e-11,-0.148277638283228,-0.0192885419155673,0.00203488037744555,-1.77085896210737e-05,0,2050,2,28,27722300.2,27722300.2,0.749512,2.37671,1.44775,2.31445,1.44409,2.3999,33.8283,16.1021,18,431.257,458.175,25.001,27.1394,30.0004,26.9917,26.969,14.9844,57.9051,0,25,265.219,11.999,96.2551,100.086,"post_heatwave"
